timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753648847819,449, Login,200,OK,Light Load 1-1,text,true,,1237,316,1,2,http://localhost:5174/api/auth/sign-in,449,0,3
1753648848779,6,Get user account,200,OK,Light Load 1-1,text,true,,514,520,1,3,http://localhost:5174/api/users/68852ba262f999891b17774f,6,0,0
1753648849293,3,Update user details,200,OK,Light Load 1-1,text,true,,291,706,1,3,http://localhost:5174/api/users/68852ba262f999891b17774f,3,0,0
1753648849805,4,Get events list,200,OK,Light Load 1-1,text,true,,3390,496,1,4,http://localhost:5174/api/events,4,0,0
1753648850309,3,Entry point,200,OK,Light Load 1-1,text,true,,177856,517,2,5,http://localhost:3000/assets/entry.client--AejsyGg.js,3,0,1
1753648850822,238, Login,200,OK,Light Load 1-2,text,true,,1237,316,1,4,http://localhost:5174/api/auth/sign-in,238,0,1
1753648851568,97,Get user account,200,OK,Light Load 1-2,text,true,,514,520,1,3,http://localhost:5174/api/users/68852ba262f999891b17774f,97,0,0
1753648852167,12,Update user details,200,OK,Light Load 1-2,text,true,,291,706,1,4,http://localhost:5174/api/users/68852ba262f999891b17774f,12,0,0
1753648852689,191,Get events list,200,OK,Light Load 1-2,text,true,,3390,496,1,3,http://localhost:5174/api/events,191,0,0
1753648853381,5,Entry point,200,OK,Light Load 1-2,text,true,,177856,517,2,5,http://localhost:3000/assets/entry.client--AejsyGg.js,4,0,1
1753648853813,340, Login,200,OK,Light Load 1-3,text,true,,1237,316,1,3,http://localhost:5174/api/auth/sign-in,340,0,0
1753648854664,7,Get user account,200,OK,Light Load 1-3,text,true,,514,520,1,4,http://localhost:5174/api/users/68852ba262f999891b17774f,7,0,0
1753648855177,97,Update user details,200,OK,Light Load 1-3,text,true,,291,706,1,3,http://localhost:5174/api/users/68852ba262f999891b17774f,97,0,0
1753648855781,9,Get events list,200,OK,Light Load 1-3,text,true,,3390,496,1,4,http://localhost:5174/api/events,9,0,0
1753648856291,3,Entry point,200,OK,Light Load 1-3,text,true,,177856,517,1,4,http://localhost:3000/assets/entry.client--AejsyGg.js,2,0,1
1753648856826,254, Login,200,OK,Light Load 1-4,text,true,,1237,316,1,4,http://localhost:5174/api/auth/sign-in,254,0,1
1753648857587,76,Get user account,200,OK,Light Load 1-4,text,true,,514,520,1,3,http://localhost:5174/api/users/68852ba262f999891b17774f,76,0,0
1753648858164,15,Update user details,200,OK,Light Load 1-4,text,true,,291,706,1,4,http://localhost:5174/api/users/68852ba262f999891b17774f,15,0,0
1753648858695,170,Get events list,200,OK,Light Load 1-4,text,true,,3390,496,1,3,http://localhost:5174/api/events,170,0,0
